"Timestamp","Indentation in JavaScript files?","Do you use semicolons in JavaScript?","Do you use a linter preset?","What tools do you use to validate code style?"
"2017/01/16 3:22:44 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:22:46 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 3:22:46 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:22:48 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:22:49 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 3:22:50 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:22:52 PM GMT+1","4 spaces","Yes","AirBnb","ESLint;Prettier"
"2017/01/16 3:22:53 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:22:54 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:23:04 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:23:05 PM GMT+1","Tabs","Yes","xo","ESLint;Standard;xo"
"2017/01/16 3:23:06 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 3:23:11 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:23:14 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 3:23:16 PM GMT+1","Tabs","No","Don’t use any","ESLint"
"2017/01/16 3:23:47 PM GMT+1","Tabs","Yes","Don’t use any","ESLint;JSHint"
"2017/01/16 3:24:06 PM GMT+1","2 spaces","Yes","custom","ESLint"
"2017/01/16 3:24:07 PM GMT+1","Tabs","Yes","Don’t use any","ESLint;xo"
"2017/01/16 3:24:08 PM GMT+1","2 spaces","Yes","Standard","ESLint;JSHint;JSCS"
"2017/01/16 3:24:20 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 3:24:22 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 3:24:22 PM GMT+1","2 spaces","Yes","AirBnb","ESLint;Prettier"
"2017/01/16 3:24:24 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:24:58 PM GMT+1","2 spaces","No","beanloop","Tslint"
"2017/01/16 3:25:06 PM GMT+1","4 spaces","Yes","Don’t use any",""
"2017/01/16 3:25:11 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:25:16 PM GMT+1","4 spaces","Yes","AirBnb","ESLint;JSCS"
"2017/01/16 3:25:18 PM GMT+1","2 spaces","Yes","AirBnb","ESLint;JSCS"
"2017/01/16 3:25:23 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:25:24 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:25:27 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 3:25:31 PM GMT+1","Tabs","Yes","Don’t use any","JSHint"
"2017/01/16 3:25:36 PM GMT+1","2 spaces","No","standard","ESLint"
"2017/01/16 3:25:45 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 3:25:48 PM GMT+1","4 spaces","Yes","Don’t use any",""
"2017/01/16 3:25:51 PM GMT+1","2 spaces","Yes","Standard","ESLint;Standard"
"2017/01/16 3:25:55 PM GMT+1","Tabs","Yes","Crockford","ESLint"
"2017/01/16 3:25:58 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 3:26:12 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:26:13 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 3:26:14 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:26:18 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:26:49 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:26:55 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:26:57 PM GMT+1","2 spaces","Yes","Don’t use any","JSHint"
"2017/01/16 3:27:00 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 3:27:34 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:27:36 PM GMT+1","4 spaces","Yes","Don’t use any","none"
"2017/01/16 3:27:39 PM GMT+1","2 spaces","Yes","Standard","ESLint;Prettier"
"2017/01/16 3:27:58 PM GMT+1","Tabs","Yes","AirBnb","ESLint;JSHint"
"2017/01/16 3:28:27 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:28:32 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:28:34 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 3:28:39 PM GMT+1","2 spaces","No","mostly create react app preset","ESLint"
"2017/01/16 3:28:42 PM GMT+1","2 spaces","Yes","xo","ESLint"
"2017/01/16 3:28:48 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 3:28:48 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:28:52 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:28:57 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:29:03 PM GMT+1","2 spaces","Yes","AirBnb with some modifications","ESLint"
"2017/01/16 3:29:11 PM GMT+1","2 spaces","No","Standard","ESLint;Standard"
"2017/01/16 3:29:26 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 3:29:40 PM GMT+1","4 spaces","Yes","Don’t use any","Tslint"
"2017/01/16 3:30:05 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 3:30:06 PM GMT+1","Tabs","Yes","Standard","JSHint"
"2017/01/16 3:30:08 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:30:38 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 3:30:42 PM GMT+1","2 spaces","Yes","Started with AirBnB, but changed it a lot.","ESLint;JSHint"
"2017/01/16 3:31:01 PM GMT+1","4 spaces","Yes","Don’t use any","None"
"2017/01/16 3:31:14 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:31:30 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:31:36 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 3:31:42 PM GMT+1","4 spaces","Yes","custom","ESLint"
"2017/01/16 3:32:13 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 3:32:15 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 3:32:17 PM GMT+1","2 spaces","No","Standard","ESLint"
